Name,Age,Nationality,Position,Finishing,ShortPassing,LongPassing,Acceleration,SprintSpeed,Agility,Balance,ShotPower,Jumping,Stamina,Strength,quality_level
E. Hernández,30,Mexico,LM,75,79,75,74,77,80,81,73,70,77,58,A
H. Sakai,28,Japan,RB,33,71,64,78,78,71,69,72,75,90,74,A
C. Buchtmann,26,Germany,CM,57,76,78,75,66,80,83,78,74,79,58,A
Régis,25,Brazil,CAM,70,74,71,79,75,83,84,65,60,67,53,A
M. Hinteregger,25,Austria,LCB,48,63,81,63,73,62,62,83,85,72,83,A
R. Soriano,27,Italy,RCM,72,78,77,75,75,79,72,77,66,65,69,A
Otávio,23,Brazil,RM,67,77,74,76,74,86,82,67,57,68,54,A
J. Moreira,28,Paraguay,RB,26,76,71,86,88,76,76,55,66,84,55,A
A. Ćorić,21,Croatia,CAM,64,74,66,78,66,82,84,68,55,73,49,A
S. Berge,20,Norway,RCM,34,80,76,75,77,68,53,75,71,80,88,A
Azpilicueta,28,Spain,RB,46,81,80,76,76,72,73,68,76,87,71,A
M. Saracchi,20,Uruguay,LB,64,74,70,87,83,77,78,71,76,79,68,A
F. Cacciatore,31,Italy,RB,45,65,65,72,72,68,75,71,77,77,78,A
A. Hunou,24,France,RM,74,75,67,74,75,78,74,72,64,74,65,A
G. Torje,28,Romania,RM,65,65,63,83,81,84,91,75,71,71,45,A
P. Kimpembe,22,France,LCB,31,79,75,75,78,74,65,55,77,80,84,A
O. Al Soma,29,Syria,LS,80,69,64,73,71,69,67,84,63,82,89,A
J. Jones,26,Trinidad & Tobago,LM,57,75,67,85,84,78,75,64,72,85,68,A
A. Pérez,37,Colombia,RDM,55,74,71,49,49,64,60,75,68,66,74,A
G. Wijnaldum,27,Netherlands,CAM,70,84,76,77,76,80,81,76,80,85,72,A
Zeca,29,Greece,LDM,60,75,75,75,77,74,76,69,65,90,70,A
F. Vázquez,29,Argentina,LCM,74,84,78,58,62,69,39,76,44,61,79,A
A. Lacazette,27,France,ST,88,80,59,81,84,85,85,83,76,79,73,A
F. Rinaudo,31,Argentina,RCM,58,77,76,73,65,71,72,75,77,75,78,A
K. Mbodji,28,Senegal,CB,45,61,66,63,69,51,30,76,68,82,94,A
Paulinho,32,Brazil,LW,72,66,52,79,72,79,89,72,75,64,66,A
R. Nainggolan,30,Belgium,CAM,75,84,81,78,73,76,82,84,76,93,77,A
